id;parent;weight;exercise;type;featured;otherPs;predPs;followPs;similarPs;alternativePs;evaluation;grade;class;topic;examples;url;specs;created;visible;ordering
136;43;1;58;basic;0;;135;143;4,5,28,43,44,46,47,56,69,121,122,128,130,140,143;;medalBased;1;6;Skládání tvarů;;malovani-tvary;<xml id="toolbox" style="display: none">     <block type="draw_move">      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>            <block type="fill_colour">      <value name="COLOUR"><block type="colour_picker"><field name="COLOUR">#3897d8</field></block></value>    </block>        <block type="set_composition"></block>    <block type="draw_circle">      <value name="RADIUS">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_square">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_diamant">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_rectangle">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">100</title>        </block>      </value>      <value name="HEIGHT">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="controls_repeat_ext">      <value name="TIMES">        <block type="math_number">          <field name="NUM">4</field>        </block>      </value>    </block> </xml>;2019-04-24 20:49:07;1;4
137;42;1;54;basic;0;;;;;;medalBased;1;8;Boj základní pro 4;;roboarena-boj-zaklad-4-hraci;<xml id="toolbox" style="display: none">    <block type="draw_move_forward_1"></block>    <block type="draw_step_back"></block>  <block type="draw_turn_select"><field name="DIR">turnLeft</field></block>      <block type="draw_turn_select"><field name="DIR">turnRight</field></block>      <block type="shoot"></block>    <block type="shield"></block>  </xml>;2019-04-25 13:48:12;1;0
138;43;1;58;basic;0;;141;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,141,145,146,153;;medalBased;1;10;Proměnné;;malovani-promenne;<xml id="toolbox" style="display: none">   <variables>    <variable type="">x</variable>    <variable type="">y</variable>  </variables>    <category name="Ovládání">  <block type="draw_move">      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="controls_repeat_ext">      <value name="TIMES">        <block type="math_number">          <field name="NUM">4</field>        </block>      </value>    </block>   <block type="variables_set">    <field name="VAR" variabletype="">x</field>    <value name="VALUE">      <block type="math_number">        <field name="NUM">0</field>      </block>    </value>  </block>  <block type="variables_set">    <field name="VAR" variabletype="">y</field>    <value name="VALUE">      <block type="math_number">        <field name="NUM">0</field>      </block>    </value>  </block>  <block type="math_change">    <field name="VAR" variabletype="">x</field>    <value name="DELTA">      <shadow type="math_number">        <field name="NUM">1</field>      </shadow>    </value>  </block>  <block type="math_change">    <field name="VAR" variabletype="">y</field>    <value name="DELTA">      <shadow type="math_number">        <field name="NUM">1</field>      </shadow>    </value>  </block>  <block type="variables_get">    <field name="VAR" variabletype="">x</field>  </block>  <block type="variables_get">    <field name="VAR" variabletype="">y</field>  </block>   </category>    <category name="Kreslení">    <block type="fill_colour">      <value name="COLOUR"><block type="colour_picker"><field name="COLOUR">#3897d8</field></block></value>    </block>        <block type="set_composition"></block>    <block type="draw_circle">      <value name="RADIUS">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_square">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_diamant">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_rectangle">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">100</title>        </block>      </value>      <value name="HEIGHT">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>  </category></xml>;2019-04-25 17:11:43;1;9
139;42;1;54;basic;0;;;;;;medalBased;1;10;Boj pokročilý pro 4;;roboarena-boj-pokrocily-4-hraci;<xml id="toolbox" style="display: none">    <category name="Základní">    <block type="draw_move_forward_n"></block>    <block type="draw_step_back"></block>  <block type="draw_turn_select"><field name="DIR">turnLeft</field></block>      <block type="draw_turn_select"><field name="DIR">turnRight</field></block>     </category>  <category name="Úkroky">           <block type="draw_step_left"></block>     <block type="draw_step_right"></block>  </category>    <category name="Podmínky">    <block type="draw_move_forward_if"></block>    <block type="draw_turn_right_90_if"></block>    <block type="draw_turn_left_90_if"></block>    <block type="condition_color"></block>          <block type="condition_front"></block>    <block type="condition_sight"></block>  </category>    <category name="Opakování">       <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">2</field>          </block>        </value>      </block>     </category>    <category name="Boj">        <block type="shoot"></block>        <block type="shield"></block>        <block type="shoot_if"></block>        <block type="shield_if"></block>    </category></xml>;2019-04-25 18:33:27;1;0
140;43;1;58;basic;0;;143;141;4,5,28,43,44,46,47,56,69,121,122,128,130,136,143;;medalBased;1;6;Vzory s opakováním;;malovani-vzory-opakovani;<xml id="toolbox" style="display: none">     <block type="draw_move">      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>           <block type="fill_colour">      <value name="COLOUR"><block type="colour_picker"><field name="COLOUR">#3897d8</field></block></value>    </block>        <block type="draw_circle">      <value name="RADIUS">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_square">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_diamant">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_rectangle">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">100</title>        </block>      </value>      <value name="HEIGHT">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_image">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="controls_repeat_ext">      <value name="TIMES">        <block type="math_number">          <field name="NUM">4</field>        </block>      </value>    </block> </xml>;2019-04-25 20:55:10;1;6
141;43;1;58;basic;0;;140;138;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,145,146,153;;medalBased;1;10;Funkce;;malovani-funkce;<xml id="toolbox" style="display: none">     <category name="Ovládání">  <block type="draw_move">      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="controls_repeat_ext">      <value name="TIMES">        <block type="math_number">          <field name="NUM">4</field>        </block>      </value>    </block>    </category>    <category name="Kreslení">    <block type="fill_colour">      <value name="COLOUR"><block type="colour_picker"><field name="COLOUR">#3897d8</field></block></value>    </block>        <block type="set_composition"></block>    <block type="draw_circle">      <value name="RADIUS">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_square">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_diamant">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_rectangle">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">100</title>        </block>      </value>      <value name="HEIGHT">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>  </category> <category name="Funkce" custom="PROCEDURE">  </category></xml>;2019-05-14 11:54:07;1;7
142;41;1;54;basic;0;;;;;;medalBased;1;0;Boj základní pro 2;;roboarena-boj-2-hraci;<xml id="toolbox" style="display: none">    <block type="draw_move_forward_1"></block>    <block type="draw_step_back"></block>  <block type="draw_turn_select"><field name="DIR">turnLeft</field></block>      <block type="draw_turn_select"><field name="DIR">turnRight</field></block>      <block type="shoot"></block>    <block type="shield"></block>  </xml>;2019-05-16 08:30:07;1;4
143;43;1;58;basic;0;;136;140;4,5,28,43,44,46,47,56,69,121,122,128,130,136,140;;medalBased;1;6;Obrázky II;;malovani-obrazky-vetsi;<xml id="toolbox" style="display: none">     <block type="draw_move">      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>            <block type="draw_move">     <field name="DIR">MOVEBACKWARD</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_move">     <field name="DIR">MOVELEFT</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_move">     <field name="DIR">MOVERIGHT</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="fill_colour">      <value name="COLOUR"><block type="colour_picker"><field name="COLOUR">#3897d8</field></block></value>    </block>        <block type="draw_circle">      <value name="RADIUS">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_square">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_diamant">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_rectangle">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">100</title>        </block>      </value>      <value name="HEIGHT">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_image">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block></xml>;2019-05-24 08:56:39;1;5
144;2;1;22;basic;0;;1;;65,76,56,77,5,6;;medalBased;1;8;;[[["python64","eCA9IDMKeSA9IDIKcHJpbnQoeCwgeSkK"],["input",{"answer":["3 2"],"style":"separate"}]],[["python64","eCA9IDQKcHJpbnQoIngiLCB4KQo="],["input",{"answer":["x 4"],"style":"separate"}]],[["python64","eCA9IDEzCnByaW50KHggJSA1KQo="],["input",{"answer":["3"],"style":"separate"}]]];vystup-programu-promenne-vyrazy-1-uroven;;2019-07-16 12:45:07;1;0
145;24;1;46;basic;0;;107;146;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,146,153;;medalBased;1;10;;;porozumeni-python-slovniky;;2019-07-17 08:07:26;1;4
146;27;1;46;basic;0;;145;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,153;;medalBased;1;10;;;porozumeni-python-objekty;;2019-07-17 10:30:35;1;5
147;14;1;22;basic;0;;17;;150,152,151,10,17,106,9,13,15,107,32,145,66,146,88,149;10,17,106;medalBased;1;10;;[[["python64","dGV4dCA9ICJzbG9uIgpwcmludCh0ZXh0WzBdKQo="],["input",{"answer":["s"],"style":"separate"}]],[["python64","dGV4dCA9ICJwZXRyIgp0ZXh0ID0gdGV4dC51cHBlcigpCnByaW50KHRleHQpCg=="],["input",{"answer":["PETR"],"style":"separate"}]],[["python64","dGV4dDEgPSAicGV0ciIKdGV4dDIgPSAia2xpYyIKcHJpbnQodGV4dDEgKyB0ZXh0MikK"],["input",{"answer":["petrklic"],"style":"separate"}]]];vystup-programu-retezce-1-uroven;;2019-07-17 15:18:19;1;0
148;23;1;22;basic;0;;31;;66,146,72,73,74,2,52,3,11,16,12,33,87,105,155,31,51;31,51;medalBased;1;10;;[[["python64","eCA9IDEzCmlmIHggPCAxMDoKICAgIHggPSB4ICsgMgpwcmludCh4KQo="],["input",{"answer":["13"],"style":"separate"}]],[["python64","dCA9ICJwZXMiCmlmIHQgPT0gInByYXNlIjoKICAgIHByaW50KHQpCmVsc2U6CiAgICBwcmludCh0LCB0KQo="],["input",{"answer":["pes pes"],"style":"separate"}]],[["python64","eCA9IDI1CmlmIHggPCAyMDoKICAgIGlmIHggPCAxMDoKICAgICAgICBwcmludCgiYWFhIikKICAgIGVsc2U6CiAgICAgICAgcHJpbnQoImJiYiIpCmVsc2U6CiAgICBwcmludCgiY2NjIikK"],["input",{"answer":["ccc"],"style":"separate"}]]];vystup-programu-if-1-uroven;;2019-07-17 15:36:12;1;0
149;44;1;26;basic;0;;;;17,13,15,32,66,88,10,106,147,9,107,150,145,152,146,151;;medalBased;1;10;;[[["python64","NSAvLyAyCg=="]],[["text","Co reprezentuje typ 'str'?"]],[["text","Jak se označuje typ používaný pro reprezentaci slovníku?"]]];rozhodovacka-python-prehled-typu-1-uroven;;2019-07-18 09:11:03;1;0
150;15;1;22;basic;0;;15;151;147,152,151,10,17,106,9,13,15,107,32,145,66,146,88,149;15;medalBased;2;10;;[[["python64","bXlsaXN0ID0gWyd4JywgJ2EnLCAnYycsICdlJywgJ3knXQpwcmludChteWxpc3RbMV0pCg=="],["input",{"answer":["a"],"style":"separate"}]],[["python64","bXlsaXN0ID0gW1s4LCAzLCAxXSwgWzQsIDUsIDJdXQpwcmludChsZW4obXlsaXN0WzBdKSkK"],["input",{"answer":["3"],"style":"separate"}]],[["python64","bXlsaXN0ID0gWyd4JywgJ2EnLCAnYycsICdlJywgJ3knXQpwcmludChteWxpc3RbLTFdKQo="],["input",{"answer":["y"],"style":"separate"}]]];vystup-programu-seznamy-2-uroven;;2019-07-18 12:13:03;1;0
151;32;1;22;combined;0;147,150,152;147,150,152;;147,150,152,10,17,106,9,13,15,107,32,145,66,146,88,149;;medalBased;2;10;;[];vystup-programu-datove-typy-mix-2-uroven;;2019-07-18 12:13:47;1;0
152;24;1;22;basic;0;;;151;147,150,151,10,17,106,9,13,15,107,32,145,66,146,88,149;;medalBased;2;10;;[[["python64","cGV0cyA9IHsiQWxpY2UiOiAiZG9nIiwgIkJvYiI6ICJjYXQiLCAiQ3lyaWwiOiAicGFycm90In0KcHJpbnQocGV0cy5nZXQoIkJvYiIsICJwaWciKSkK"],["input",{"answer":["cat"],"style":"separate"}]],[["python64","bXlkaWN0ID0gezM6IDUsIDA6IDMsIDE6IDR9CnByaW50KG15ZGljdFsxXSkK"],["input",{"answer":["4"],"style":"separate"}]],[["python64","bW9yc2UgPSB7J0EnOiAnLi0nLCAnQic6ICctLi4uJywgJ0MnOiAnLS4tLicsCiAgICAgICAgICdEJzogJy0uLicsICdFJzogJy4nLCAnRic6ICcuLi0uJ30KcHJpbnQoJy4uLicgaW4gbW9yc2UudmFsdWVzKCkpCg=="],["input",{"answer":["False"],"style":"separate"}]]];vystup-programu-slovniky-2-uroven;;2019-07-18 12:29:47;1;0
153;39;1;52;basic;0;;119;111;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146;;medalBased;1;10;Mix: střední;;regularni-vyrazy-stredni;;2019-07-18 15:15:09;1;6
154;44;1;12;combined;0;149;;;;;other;1;10;;;tymovka-python-prehled-typu-1-uroven;;2019-07-19 02:50:22;1;0
155;17;1;35;basic;0;;;;;;medalBased;1;10;Záludné;;interaktivni-python-zaludne;;2020-06-12 14:51:22;1;10
156;45;1;43;basic;0;;;;;;medalBased;1;10;Funkce;;python-zelvi-grafika-funkce;;2020-06-15 12:54:08;1;3
157;45;1;43;basic;0;;;;;;medalBased;1;10;Správné úhly;;python-zelvi-grafika-spravne-uhly;;2020-06-15 12:54:47;1;4
158;43;1;58;basic;0;;;;;;medalBased;1;5;Ladění obrázků;;malovani-ladeni-obrazku;<xml id="toolbox" style="display: none">     <block type="draw_move">      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>            <block type="draw_move">     <field name="DIR">MOVEBACKWARD</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_move">     <field name="DIR">MOVELEFT</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_move">     <field name="DIR">MOVERIGHT</field>      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="fill_colour">      <value name="COLOUR"><block type="colour_picker"><field name="COLOUR">#3897d8</field></block></value>    </block>        <block type="draw_circle">      <value name="RADIUS">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_square">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_diamant">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_rectangle">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">100</title>        </block>      </value>      <value name="HEIGHT">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_image">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block></xml>;2020-06-16 12:34:34;1;3
159;43;1;58;basic;0;;;;;;medalBased;1;8;Skládání tvarů II;;malovani-skladani-tvaru-2;<xml id="toolbox" style="display: none">     <block type="draw_move">      <value name="VALUE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>            <block type="fill_colour">      <value name="COLOUR"><block type="colour_picker"><field name="COLOUR">#3897d8</field></block></value>    </block>        <block type="set_composition"></block>    <block type="draw_circle">      <value name="RADIUS">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_square">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_diamant">      <value name="SIZE">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="draw_rectangle">      <value name="WIDTH">        <block type="math_number">          <title name="NUM">100</title>        </block>      </value>      <value name="HEIGHT">        <block type="math_number">          <title name="NUM">50</title>        </block>      </value>    </block>    <block type="controls_repeat_ext">      <value name="TIMES">        <block type="math_number">          <field name="NUM">4</field>        </block>      </value>    </block> </xml>;2020-06-17 09:58:07;1;8
160;2;1;26;basic;0;;1;;1,66,88,2,3,87,17,14,161,86,146,72,73,74,78,79,80,151,52,7,18,11,12,33,105,155,19,20,21,23,29,30,67,112,10,106,147,50;;medalBased;2;10;;[[["text","Co vypíše program?"],["python64","YSA9IDcKYiA9IDMKcHJpbnQoYSAlIGIpCg=="]],[["html","Můžeme proměnnou pojmenovat <code>2nd_attempt</code>?"]],[["text","Co vypíše program?"],["python64","YSA9IDUKYiA9IDMKcHJpbnQoYStiKQo="]]];rozhodovacka-promenne-a-ciselne-vyrazy-2;;2020-10-01 15:28:22;1;0
161;18;1;26;basic;0;;14;;14,66,88,2,3,1,160,87,17,86,146,72,73,74,78,79,80,151,52,7,18,11,12,33,105,155,19,20,21,23,29,30,67,112,10,106,147,50;;medalBased;2;10;;[[["text","Co vypíše program?"],["python64","YSA9IFRydWUKYiA9IGEgYW5kIEZhbHNlCmMgPSBhIG9yIEZhbHNlCnByaW50KGIsIGMpCg=="]],[["text","Jak lze zjednodušit následující výraz?"],["python64","KHggPiB5KSA9PSAoeCA8IHkp"]],[["html","Pokud je <code>a</code> pravdivostní proměnná, je výraz <code>a != True</code> ekvivalentní výrazu <code>not a</code> ?"]]];rozhodovacka-logicke-vyrazy-2;;2020-10-07 22:08:03;1;0